Company,Role,Location,Work Type,Visa Sponsored,Pay Range,Source,Date Applied,Status,Job URL,Resume Used,Cover Letter,Priority
Plaid,Assistant Controller,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/fc6939af-1c96-4ebe-9b31-59da5c204574,nodejs_fullstack,N,4
Plaid,Account-Based Marketing Manager,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/2200a764-239c-40c7-bd74-8785b1df62e4,nodejs_fullstack,N,4
Plaid,Account Manager - Banking and Wealth,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/f09937a3-5edf-47c8-a9ba-69f9f5e39d86,nodejs_fullstack,N,4
Plaid,Account Manager  - SMB,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/c6e65e59-4449-419a-88cd-481300fbe12b,nodejs_fullstack,N,4
Plaid,Account Executive Leader - Payments,United States,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/2c176b51-6d61-409b-aab3-0faaa319f18e,nodejs_fullstack,N,4
Plaid,Account Executive Leader - Fraud,United States,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/98704e37-c2f5-491a-b5db-281eea83520a,nodejs_fullstack,N,4
Plaid,Account Executive - SMB,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/96cecfd1-a364-4514-8bf3-f753fd601e02,nodejs_fullstack,N,4
Plaid,Account Executive - Named Enterprise - Public Sector,United States,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/a335de27-ae68-46cb-a320-8c0494e47e42,nodejs_fullstack,N,4
Plaid,Account Executive - Fintech Named,United States,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/b931eb96-8dd8-4f8f-85aa-1c944ea659b5,nodejs_fullstack,N,4
Plaid,Account Executive - Fintech Named,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/529e32e5-d849-498f-b313-29b6cc99e593,nodejs_fullstack,N,4
Plaid,Account Executive - Fintech,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,2026-04-09 20:20,Applied,https://jobs.lever.co/plaid/d6389903-e642-4189-804c-02d271714bdb,nodejs_fullstack,N,4
Ollie,"Senior Software Engineer, Full-Stack",United States,Remote (No Visa),N,Not Listed,LinkedIn US,,Found,https://www.linkedin.com/jobs/view/senior-software-engineer-full-stack-at-ollie-4398938176?position=1&pageNum=0&refId=cosjjM8D66W6BkRMGRZv0w%3D%3D&trackingId=kODPxxNZ0XhTNdPTWnyEqA%3D%3D,,N,1
